Gebietsschlüssel;Gebietseinheit;Zeit;Alter von ... bis unter ... Jahren;Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung ohne Migrationshintergrund;Bevölkerung ohne Migrationshintergrund
04011432;Steffensweg (Ortsteil);2022-12-31;6 - 15;224;105;97;45;124;58;3;2;83;43
04011432;Steffensweg (Ortsteil);2022-12-31;15 - 18;64;29;18;6;46;23;0;0;35;21
04011432;Steffensweg (Ortsteil);2022-12-31;18 - 25;236;101;163;61;68;37;5;3;188;96
04011432;Steffensweg (Ortsteil);2022-12-31;25 - 30;181;80;140;61;34;15;7;4;223;101
04011432;Steffensweg (Ortsteil);2022-12-31;30 - 50;631;284;448;206;167;73;16;5;671;315
04011432;Steffensweg (Ortsteil);2022-12-31;50 - 65;259;109;168;61;83;42;8;6;662;311
04011432;Steffensweg (Ortsteil);2022-12-31;65 oder mehr;143;77;99;51;36;20;8;6;622;390
04011432;Steffensweg (Ortsteil);2022-12-31;Insgesamt;1901;863;1200;521;652;316;49;26;2567;1321
04011433;Westend (Ortsteil);2022-12-31;unter 6;235;110;111;51;116;54;8;5;120;51
04011433;Westend (Ortsteil);2022-12-31;6 - 15;301;151;147;69;146;79;8;3;146;68
04011433;Westend (Ortsteil);2022-12-31;15 - 18;93;46;46;25;47;21;0;0;67;25
04011433;Westend (Ortsteil);2022-12-31;18 - 25;296;139;217;98;75;39;4;2;333;183
04011433;Westend (Ortsteil);2022-12-31;25 - 30;324;136;241;95;73;34;10;7;327;164
04011433;Westend (Ortsteil);2022-12-31;30 - 50;892;408;641;281;219;106;32;21;1047;490
04011433;Westend (Ortsteil);2022-12-31;50 - 65;373;179;259;124;98;43;16;12;916;462
04011433;Westend (Ortsteil);2022-12-31;65 oder mehr;182;107;113;66;52;30;17;11;856;489
04011433;Westend (Ortsteil);2022-12-31;Insgesamt;2696;1276;1775;809;826;406;95;61;3812;1932
04011434;Walle (Ortsteil);2022-12-31;unter 6;315;156;117;54;192;98;6;4;112;57
04011434;Walle (Ortsteil);2022-12-31;6 - 15;418;191;147;72;262;115;9;4;216;116
04011434;Walle (Ortsteil);2022-12-31;15 - 18;137;52;54;17;79;33;4;2;84;37
04011434;Walle (Ortsteil);2022-12-31;18 - 25;344;153;229;91;105;55;10;7;359;189
04011434;Walle (Ortsteil);2022-12-31;25 - 30;308;144;224;104;77;38;7;2;301;140
04011434;Walle (Ortsteil);2022-12-31;30 - 50;1000;499;634;310;324;170;42;19;1073;555
04011434;Walle (Ortsteil);2022-12-31;50 - 65;479;231;303;149;147;65;29;17;1272;630
04011434;Walle (Ortsteil);2022-12-31;65 oder mehr;249;132;129;73;100;49;20;10;1155;637
04011434;Walle (Ortsteil);2022-12-31;Insgesamt;3250;1558;1837;870;1286;623;127;65;4572;2361
04011435;Osterfeuerberg (Ortsteil);2022-12-31;unter 6;225;112;75;37;139;68;11;7;106;60
04011435;Osterfeuerberg (Ortsteil);2022-12-31;6 - 15;236;126;76;41;151;83;9;2;170;77
04011435;Osterfeuerberg (Ortsteil);2022-12-31;15 - 18;77;34;29;11;47;22;1;1;47;21
04011435;Osterfeuerberg (Ortsteil);2022-12-31;18 - 25;196;77;135;45;57;29;4;3;224;108
04011435;Osterfeuerberg (Ortsteil);2022-12-31;25 - 30;216;91;169;70;44;19;3;2;212;100
04011435;Osterfeuerberg (Ortsteil);2022-12-31;30 - 50;652;261;452;178;163;66;37;17;808;405
04011435;Osterfeuerberg (Ortsteil);2022-12-31;50 - 65;283;122;190;82;84;35;9;5;868;426
04011435;Osterfeuerberg (Ortsteil);2022-12-31;65 oder mehr;119;62;73;42;29;14;17;6;683;358
04011435;Osterfeuerberg (Ortsteil);2022-12-31;Insgesamt;2004;885;1199;506;714;336;91;43;3118;1555
04011436;Hohweg (Ortsteil);2022-12-31;unter 6;8;4;3;1;5;3;0;0;4;3
04011436;Hohweg (Ortsteil);2022-12-31;6 - 15;12;7;2;2;10;5;0;0;6;3
04011436;Hohweg (Ortsteil);2022-12-31;15 - 18;5;0;2;0;3;0;0;0;1;0
04011436;Hohweg (Ortsteil);2022-12-31;18 - 25;8;4;6;4;2;0;0;0;20;2
04011436;Hohweg (Ortsteil);2022-12-31;25 - 30;7;3;5;1;2;2;0;0;7;4
04011436;Hohweg (Ortsteil);2022-12-31;30 - 50;21;9;19;8;2;1;0;0;20;12
04011436;Hohweg (Ortsteil);2022-12-31;50 - 65;15;7;11;4;2;1;2;2;74;34
04011436;Hohweg (Ortsteil);2022-12-31;65 oder mehr;7;3;2;1;3;1;2;1;103;62
04011436;Hohweg (Ortsteil);2022-12-31;Insgesamt;83;37;50;21;29;13;4;3;235;120
04011437;Überseestadt (Ortsteil);2022-12-31;unter 6;295;154;121;70;163;80;11;4;94;51
04011437;Überseestadt (Ortsteil);2022-12-31;6 - 15;286;142;122;65;151;70;13;7;48;18
04011437;Überseestadt (Ortsteil);2022-12-31;15 - 18;77;38;29;11;43;25;5;2;20;14
04011437;Überseestadt (Ortsteil);2022-12-31;18 - 25;215;86;134;45;71;35;10;6;252;122
04011437;Überseestadt (Ortsteil);2022-12-31;25 - 30;260;128;133;68;112;55;15;5;379;181
04011437;Überseestadt (Ortsteil);2022-12-31;30 - 50;729;381;415;231;262;122;52;28;815;331
04011437;Überseestadt (Ortsteil);2022-12-31;50 - 65;206;86;108;42;85;36;13;8;452;205
04011437;Überseestadt (Ortsteil);2022-12-31;65 oder mehr;65;35;31;17;25;11;9;7;303;155
04011437;Überseestadt (Ortsteil);2022-12-31;Insgesamt;2133;1050;1093;549;912;434;128;67;2363;1077
0401144;Gröpelingen (Stadtteil);2022-12-31;unter 6;2259;1107;1049;494;1176;596;34;17;413;210
0401144;Gröpelingen (Stadtteil);2022-12-31;6 - 15;3002;1438;1425;680;1521;732;56;26;660;302
0401144;Gröpelingen (Stadtteil);2022-12-31;15 - 18;1013;470;472;212;526;253;15;5;248;117
0401144;Gröpelingen (Stadtteil);2022-12-31;18 - 25;2253;967;1508;607;719;348;26;12;1076;539
0401144;Gröpelingen (Stadtteil);2022-12-31;25 - 30;1856;768;1443;574;387;183;26;11;705;335
0401144;Gröpelingen (Stadtteil);2022-12-31;30 - 50;6804;3060;5100;2294;1503;684;201;82;3185;1500
0401144;Gröpelingen (Stadtteil);2022-12-31;50 - 65;3188;1390;2207;984;820;326;161;80;3945;1943
0401144;Gröpelingen (Stadtteil);2022-12-31;65 oder mehr;1641;862;1081;589;411;189;149;84;4360;2468
0401144;Gröpelingen (Stadtteil);2022-12-31;Insgesamt;22016;10062;14285;6434;7063;3311;668;317;14592;7414
04011441;Lindenhof (Ortsteil);2022-12-31;unter 6;509;236;247;120;257;113;5;3;58;31
04011441;Lindenhof (Ortsteil);2022-12-31;6 - 15;699;339;359;174;332;161;8;4;116;49
04011441;Lindenhof (Ortsteil);2022-12-31;15 - 18;247;127;123;66;121;60;3;1;47;21
04011441;Lindenhof (Ortsteil);2022-12-31;18 - 25;573;248;390;154;177;91;6;3;230;106
04011441;Lindenhof (Ortsteil);2022-12-31;25 - 30;410;181;320;138;82;39;8;4;157;71
04011441;Lindenhof (Ortsteil);2022-12-31;30 - 50;1572;688;1236;534;301;144;35;10;635;278
04011441;Lindenhof (Ortsteil);2022-12-31;50 - 65;803;346;580;255;199;79;24;12;908;434
04011441;Lindenhof (Ortsteil);2022-12-31;65 oder mehr;422;226;305;168;84;40;33;18;995;561
04011441;Lindenhof (Ortsteil);2022-12-31;Insgesamt;5235;2391;3560;1609;1553;727;122;55;3146;1551
04011442;Gröpelingen (Ortsteil);2022-12-31;unter 6;706;357;320;152;378;202;8;3;102;52
04011442;Gröpelingen (Ortsteil);2022-12-31;6 - 15;804;401;358;178;432;215;14;8;152;67
04011442;Gröpelingen (Ortsteil);2022-12-31;15 - 18;242;105;99;44;139;61;4;0;57;28
04011442;Gröpelingen (Ortsteil);2022-12-31;18 - 25;573;253;383;166;182;84;8;3;269;148
04011442;Gröpelingen (Ortsteil);2022-12-31;25 - 30;530;224;423;168;101;52;6;4;181;94
04011442;Gröpelingen (Ortsteil);2022-12-31;30 - 50;1870;897;1422;664;412;211;36;22;712;357
04011442;Gröpelingen (Ortsteil);2022-12-31;50 - 65;799;380;568;278;196;82;35;20;978;506
04011442;Gröpelingen (Ortsteil);2022-12-31;65 oder mehr;414;219;288;158;95;42;31;19;1128;657
04011442;Gröpelingen (Ortsteil);2022-12-31;Insgesamt;5938;2836;3861;1808;1935;949;142;79;3579;1909
04011443;Ohlenhof (Ortsteil);2022-12-31;unter 6;590;282;292;125;289;153;9;4;95;45
04011443;Ohlenhof (Ortsteil);2022-12-31;6 - 15;846;388;425;188;411;196;10;4;150;63
04011443;Ohlenhof (Ortsteil);2022-12-31;15 - 18;275;129;137;63;136;65;2;1;52;30
04011443;Ohlenhof (Ortsteil);2022-12-31;18 - 25;647;279;434;169;212;110;1;0;255;116
04011443;Ohlenhof (Ortsteil);2022-12-31;25 - 30;543;202;435;156;106;46;2;0;136;62
04011443;Ohlenhof (Ortsteil);2022-12-31;30 - 50;1896;850;1436;663;423;172;37;15;787;379
04011443;Ohlenhof (Ortsteil);2022-12-31;50 - 65;957;392;695;297;228;81;34;14;930;449
04011443;Ohlenhof (Ortsteil);2022-12-31;65 oder mehr;461;230;327;173;104;36;30;21;943;513
04011443;Ohlenhof (Ortsteil);2022-12-31;Insgesamt;6215;2752;4181;1834;1909;859;125;59;3348;1657
04011444;In den Wischen (Ortsteil);2022-12-31;unter 6;0;0;0;0;0;0;0;0;0;0
04011444;In den Wischen (Ortsteil);2022-12-31;6 - 15;0;0;0;0;0;0;0;0;0;0
04011444;In den Wischen (Ortsteil);2022-12-31;15 - 18;0;0;0;0;0;0;0;0;0;0
04011444;In den Wischen (Ortsteil);2022-12-31;18 - 25;0;0;0;0;0;0;0;0;0;0
04011444;In den Wischen (Ortsteil);2022-12-31;25 - 30;0;0;0;0;0;0;0;0;1;1
04011444;In den Wischen (Ortsteil);2022-12-31;30 - 50;0;0;0;0;0;0;0;0;0;0
04011444;In den Wischen (Ortsteil);2022-12-31;50 - 65;0;0;0;0;0;0;0;0;0;0
04011444;In den Wischen (Ortsteil);2022-12-31;65 oder mehr;2;1;2;1;0;0;0;0;2;1
04011444;In den Wischen (Ortsteil);2022-12-31;Insgesamt;2;1;2;1;0;0;0;0;3;2
04011445;Oslebshausen (Ortsteil);2022-12-31;unter 6;454;232;190;97;252;128;12;7;158;82
04011445;Oslebshausen (Ortsteil);2022-12-31;6 - 15;653;310;283;140;346;160;24;10;242;123
04011445;Oslebshausen (Ortsteil);2022-12-31;15 - 18;249;109;113;39;130;67;6;3;92;38
04011445;Oslebshausen (Ortsteil);2022-12-31;18 - 25;460;187;301;118;148;63;11;6;322;169
04011445;Oslebshausen (Ortsteil);2022-12-31;25 - 30;373;161;265;112;98;46;10;3;230;107
04011445;Oslebshausen (Ortsteil);2022-12-31;30 - 50;1466;625;1006;433;367;157;93;35;1051;486
04011445;Oslebshausen (Ortsteil);2022-12-31;50 - 65;629;272;364;154;197;84;68;34;1129;554
04011445;Oslebshausen (Ortsteil);2022-12-31;65 oder mehr;342;186;159;89;128;71;55;26;1292;736
04011445;Oslebshausen (Ortsteil);2022-12-31;Insgesamt;4626;2082;2681;1182;1666;776;279;124;4516;2295
040115;Nord (Stadtbezirk);2022-12-31;unter 6;4759;2280;2205;1082;2226;1040;328;158;2188;1080
040115;Nord (Stadtbezirk);2022-12-31;6 - 15;6184;2976;3096;1490;2528;1213;560;273;3087;1526
040115;Nord (Stadtbezirk);2022-12-31;15 - 18;1929;918;881;415;843;409;205;94;1205;585
040115;Nord (Stadtbezirk);2022-12-31;18 - 25;4513;2039;3368;1472;1032;512;113;55;4198;2034
040115;Nord (Stadtbezirk);2022-12-31;25 - 30;2734;1265;1902;868;683;324;149;73;2904;1460
040115;Nord (Stadtbezirk);2022-12-31;30 - 50;11736;5904;7221;3728;3072;1467;1443;709;11973;5991
040115;Nord (Stadtbezirk);2022-12-31;50 - 65;5629;2823;2754;1348;1733;867;1142;608;16128;8118
040115;Nord (Stadtbezirk);2022-12-31;65 oder mehr;3742;2086;1510;844;1179;638;1053;604;19414;10991
040115;Nord (Stadtbezirk);2022-12-31;Insgesamt;41226;20291;22937;11247;13296;6470;4993;2574;61097;31785
0401151;Burglesum (Stadtteil);2022-12-31;unter 6;1251;610;469;232;663;318;119;60;762;371
0401151;Burglesum (Stadtteil);2022-12-31;6 - 15;1622;814;605;300;793;394;224;120;1084;493
0401151;Burglesum (Stadtteil);2022-12-31;15 - 18;492;232;152;69;269;136;71;27;395;186
0401151;Burglesum (Stadtteil);2022-12-31;18 - 25;1376;638;1022;464;311;158;43;16;1416;687
0401151;Burglesum (Stadtteil);2022-12-31;25 - 30;735;330;442;193;214;102;79;35;1064;552
0401151;Burglesum (Stadtteil);2022-12-31;30 - 50;3375;1720;1811;949;977;479;587;292;4282;2141
0401151;Burglesum (Stadtteil);2022-12-31;50 - 65;1707;874;722;366;525;273;460;235;5475;2771
0401151;Burglesum (Stadtteil);2022-12-31;65 oder mehr;1224;688;359;198;402;216;463;274;7173;4047
0401151;Burglesum (Stadtteil);2022-12-31;Insgesamt;11782;5906;5582;2771;4154;2076;2046;1059;21651;11248
04011511;Burg-Grambke (Ortsteil);2022-12-31;unter 6;237;115;86;41;137;70;14;4;145;71
04011511;Burg-Grambke (Ortsteil);2022-12-31;6 - 15;375;193;146;76;194;95;35;22;225;97
04011511;Burg-Grambke (Ortsteil);2022-12-31;15 - 18;125;57;36;16;75;36;14;5;77;37
04011511;Burg-Grambke (Ortsteil);2022-12-31;18 - 25;212;104;115;51;90;50;7;3;315;160
04011511;Burg-Grambke (Ortsteil);2022-12-31;25 - 30;143;61;76;32;59;27;8;2;211;114
04011511;Burg-Grambke (Ortsteil);2022-12-31;30 - 50;681;344;371;183;210;110;100;51;916;439
04011511;Burg-Grambke (Ortsteil);2022-12-31;50 - 65;365;176;150;75;120;56;95;45;1160;571
04011511;Burg-Grambke (Ortsteil);2022-12-31;65 oder mehr;221;115;80;41;74;36;67;38;1371;756
04011511;Burg-Grambke (Ortsteil);2022-12-31;Insgesamt;2359;1165;1060;515;959;480;340;170;4420;2245
04011512;Werderland (Ortsteil);2022-12-31;unter 6;1;1;0;0;1;1;0;0;7;5
04011512;Werderland (Ortsteil);2022-12-31;6 - 15;3;1;1;0;2;1;0;0;18;8
04011512;Werderland (Ortsteil);2022-12-31;15 - 18;0;0;0;0;0;0;0;0;10;5
04011512;Werderland (Ortsteil);2022-12-31;18 - 25;1;1;0;0;1;1;0;0;13;7
04011512;Werderland (Ortsteil);2022-12-31;25 - 30;1;0;0;0;1;0;0;0;10;4
04011512;Werderland (Ortsteil);2022-12-31;30 - 50;4;2;2;1;2;1;0;0;53;28
04011512;Werderland (Ortsteil);2022-12-31;50 - 65;6;4;1;1;3;2;2;1;109;54
04011512;Werderland (Ortsteil);2022-12-31;65 oder mehr;2;2;1;1;1;1;0;0;77;42
04011512;Werderland (Ortsteil);2022-12-31;Insgesamt;18;11;5;3;11;7;2;1;297;153
04011513;Burgdamm (Ortsteil);2022-12-31;unter 6;547;270;238;127;257;117;52;26;228;119
04011513;Burgdamm (Ortsteil);2022-12-31;6 - 15;702;334;279;134;327;150;96;50;273;120
04011513;Burgdamm (Ortsteil);2022-12-31;15 - 18;212;113;60;28;119;72;33;13;97;50
04011513;Burgdamm (Ortsteil);2022-12-31;18 - 25;367;176;223;109;120;59;24;8;390;180
04011513;Burgdamm (Ortsteil);2022-12-31;25 - 30;315;139;199;85;82;39;34;15;284;145
04011513;Burgdamm (Ortsteil);2022-12-31;30 - 50;1480;745;844;436;374;173;262;136;1084;534
04011513;Burgdamm (Ortsteil);2022-12-31;50 - 65;811;413;361;185;208;107;242;121;1393;693
04011513;Burgdamm (Ortsteil);2022-12-31;65 oder mehr;599;335;157;86;170;87;272;162;1772;993
04011513;Burgdamm (Ortsteil);2022-12-31;Insgesamt;5033;2525;2361;1190;1657;804;1015;531;5521;2834
04011514;Lesum (Ortsteil);2022-12-31;unter 6;297;142;113;55;158;70;26;17;240;110
04011514;Lesum (Ortsteil);2022-12-31;6 - 15;354;193;146;80;156;85;52;28;362;170
04011514;Lesum (Ortsteil);2022-12-31;15 - 18;87;37;30;15;45;17;12;5;115;47
04011514;Lesum (Ortsteil);2022-12-31;18 - 25;180;84;131;65;41;16;8;3;398;194
04011514;Lesum (Ortsteil);2022-12-31;25 - 30;174;82;105;50;45;22;24;10;339;179
04011514;Lesum (Ortsteil);2022-12-31;30 - 50;758;399;409;233;217;108;132;58;1364;698
04011514;Lesum (Ortsteil);2022-12-31;50 - 65;339;188;140;76;120;65;79;47;1679;877
04011514;Lesum (Ortsteil);2022-12-31;65 oder mehr;270;161;83;49;91;55;96;57;2293;1323
04011514;Lesum (Ortsteil);2022-12-31;Insgesamt;2459;1286;1157;623;873;438;429;225;6790;3598
04011515;St  Magnus (Ortsteil);2022-12-31;unter 6;169;82;32;9;110;60;27;13;142;66
04011515;St  Magnus (Ortsteil);2022-12-31;6 - 15;188;93;33;10;114;63;41;20;206;98
04011515;St  Magnus (Ortsteil);2022-12-31;15 - 18;68;25;26;10;30;11;12;4;96;47
04011515;St  Magnus (Ortsteil);2022-12-31;18 - 25;616;273;553;239;59;32;4;2;300;146
04011515;St  Magnus (Ortsteil);2022-12-31;25 - 30;102;48;62;26;27;14;13;8;220;110
04011515;St  Magnus (Ortsteil);2022-12-31;30 - 50;452;230;185;96;174;87;93;47;865;442
04011515;St  Magnus (Ortsteil);2022-12-31;50 - 65;186;93;70;29;74;43;42;21;1134;576
04011515;St  Magnus (Ortsteil);2022-12-31;65 oder mehr;132;75;38;21;66;37;28;17;1660;933
04011515;St  Magnus (Ortsteil);2022-12-31;Insgesamt;1913;919;999;440;654;347;260;132;4623;2418
0401152;Vegesack (Stadtteil);2022-12-31;unter 6;1713;807;878;431;746;337;89;39;715;353
0401152;Vegesack (Stadtteil);2022-12-31;6 - 15;2175;1051;1188;579;841;415;146;57;1042;536
0401152;Vegesack (Stadtteil);2022-12-31;15 - 18;705;332;364;169;279;135;62;28;401;204
0401152;Vegesack (Stadtteil);2022-12-31;18 - 25;2041;887;1626;682;376;182;39;23;1366;661
0401152;Vegesack (Stadtteil);2022-12-31;25 - 30;1131;492;872;363;226;112;33;17;921;459
0401152;Vegesack (Stadtteil);2022-12-31;30 - 50;4516;2211;3060;1492;1052;504;404;215;4021;2038
0401152;Vegesack (Stadtteil);2022-12-31;50 - 65;2035;1018;1106;545;616;308;313;165;5447;2762
0401152;Vegesack (Stadtteil);2022-12-31;65 oder mehr;1360;753;634;350;423;236;303;167;6734;3860
0401152;Vegesack (Stadtteil);2022-12-31;Insgesamt;15676;7551;9728;4611;4559;2229;1389;711;20647;10873
04011521;Vegesack (Ortsteil);2022-12-31;unter 6;218;112;101;55;107;50;10;7;111;47
04011521;Vegesack (Ortsteil);2022-12-31;6 - 15;306;135;135;59;137;59;34;17;153;84
04011521;Vegesack (Ortsteil);2022-12-31;15 - 18;111;41;51;20;43;14;17;7;80;45
04011521;Vegesack (Ortsteil);2022-12-31;18 - 25;190;81;133;48;51;27;6;6;249;117
04011521;Vegesack (Ortsteil);2022-12-31;25 - 30;163;74;106;46;49;22;8;6;214;105
04011521;Vegesack (Ortsteil);2022-12-31;30 - 50;694;345;396;187;220;114;78;44;776;391
04011521;Vegesack (Ortsteil);2022-12-31;50 - 65;391;194;202;91;134;72;55;31;1066;549
04011521;Vegesack (Ortsteil);2022-12-31;65 oder mehr;296;159;123;70;101;53;72;36;1570;927
04011521;Vegesack (Ortsteil);2022-12-31;Insgesamt;2369;1141;1247;576;842;411;280;154;4219;2265
04011522;Grohn (Ortsteil);2022-12-31;unter 6;450;213;285;144;155;67;10;2;103;56
04011522;Grohn (Ortsteil);2022-12-31;6 - 15;587;291;388;199;172;84;27;8;125;78
04011522;Grohn (Ortsteil);2022-12-31;15 - 18;184;94;130;60;49;31;5;3;51;25
04011522;Grohn (Ortsteil);2022-12-31;18 - 25;881;380;793;344;82;32;6;4;195;90
04011522;Grohn (Ortsteil);2022-12-31;25 - 30;201;95;163;75;38;20;0;0;100;54
04011522;Grohn (Ortsteil);2022-12-31;30 - 50;880;444;652;337;168;81;60;26;525;271
04011522;Grohn (Ortsteil);2022-12-31;50 - 65;353;189;213;109;85;46;55;34;774;381
04011522;Grohn (Ortsteil);2022-12-31;65 oder mehr;242;136;108;61;70;36;64;39;1010;563
04011522;Grohn (Ortsteil);2022-12-31;Insgesamt;3778;1842;2732;1329;819;397;227;116;2883;1518
04011523;Schönebeck (Ortsteil);2022-12-31;unter 6;163;69;42;21;101;37;20;11;155;79
04011523;Schönebeck (Ortsteil);2022-12-31;6 - 15;242;124;89;46;120;65;33;13;284;126
04011523;Schönebeck (Ortsteil);2022-12-31;15 - 18;92;45;26;11;45;24;21;10;97;45
04011523;Schönebeck (Ortsteil);2022-12-31;18 - 25;137;72;74;36;54;31;9;5;240;116
04011523;Schönebeck (Ortsteil);2022-12-31;25 - 30;102;51;67;31;28;16;7;4;143;65
04011523;Schönebeck (Ortsteil);2022-12-31;30 - 50;481;234;256;133;148;54;77;47;769;420
04011523;Schönebeck (Ortsteil);2022-12-31;50 - 65;216;114;79;42;81;40;56;32;977;511
04011523;Schönebeck (Ortsteil);2022-12-31;65 oder mehr;140;80;42;21;50;33;48;26;1191;667
04011523;Schönebeck (Ortsteil);2022-12-31;Insgesamt;1573;789;675;341;627;300;271;148;3856;2029
04011524;Aumund-Hammersbeck (Ortsteil);2022-12-31;unter 6;365;177;119;61;218;106;28;10;208;106
04011524;Aumund-Hammersbeck (Ortsteil);2022-12-31;6 - 15;400;204;141;70;229;121;30;13;283;149
04011524;Aumund-Hammersbeck (Ortsteil);2022-12-31;15 - 18;108;50;32;15;65;32;11;3;102;53
04011524;Aumund-Hammersbeck (Ortsteil);2022-12-31;18 - 25;232;119;123;63;101;51;8;5;371;194
04011524;Aumund-Hammersbeck (Ortsteil);2022-12-31;25 - 30;171;86;104;48;62;36;5;2;231;113
04011524;Aumund-Hammersbeck (Ortsteil);2022-12-31;30 - 50;871;466;501;269;272;145;98;52;1009;508
04011524;Aumund-Hammersbeck (Ortsteil);2022-12-31;50 - 65;444;227;203;110;170;84;71;33;1337;679
04011524;Aumund-Hammersbeck (Ortsteil);2022-12-31;65 oder mehr;300;159;154;84;83;44;63;31;1428;799
04011524;Aumund-Hammersbeck (Ortsteil);2022-12-31;Insgesamt;2891;1488;1377;720;1200;619;314;149;4969;2601
04011525;Fähr-Lobbendorf (Ortsteil);2022-12-31;unter 6;517;236;331;150;165;77;21;9;138;65
04011525;Fähr-Lobbendorf (Ortsteil);2022-12-31;6 - 15;640;297;435;205;183;86;22;6;197;99
04011525;Fähr-Lobbendorf (Ortsteil);2022-12-31;15 - 18;210;102;125;63;77;34;8;5;71;36
04011525;Fähr-Lobbendorf (Ortsteil);2022-12-31;18 - 25;601;235;503;191;88;41;10;3;311;144
04011525;Fähr-Lobbendorf (Ortsteil);2022-12-31;25 - 30;494;186;432;163;49;18;13;5;233;122
04011525;Fähr-Lobbendorf (Ortsteil);2022-12-31;30 - 50;1590;722;1255;566;244;110;91;46;942;448
04011525;Fähr-Lobbendorf (Ortsteil);2022-12-31;50 - 65;631;294;409;193;146;66;76;35;1293;642
04011525;Fähr-Lobbendorf (Ortsteil);2022-12-31;65 oder mehr;382;219;207;114;119;70;56;35;1535;904
04011525;Fähr-Lobbendorf (Ortsteil);2022-12-31;Insgesamt;5065;2291;3697;1645;1071;502;297;144;4720;2460
0401153;Blumenthal (Stadtteil);2022-12-31;unter 6;1795;863;858;419;817;385;120;59;711;356
0401153;Blumenthal (Stadtteil);2022-12-31;6 - 15;2387;1111;1303;611;894;404;190;96;961;497
0401153;Blumenthal (Stadtteil);2022-12-31;15 - 18;732;354;365;177;295;138;72;39;409;195
0401153;Blumenthal (Stadtteil);2022-12-31;18 - 25;1096;514;720;326;345;172;31;16;1416;686
0401153;Blumenthal (Stadtteil);2022-12-31;25 - 30;868;443;588;312;243;110;37;21;919;449
0401153;Blumenthal (Stadtteil);2022-12-31;30 - 50;3845;1973;2350;1287;1043;484;452;202;3670;1812
0401153;Blumenthal (Stadtteil);2022-12-31;50 - 65;1887;931;926;437;592;286;369;208;5206;2585
0401153;Blumenthal (Stadtteil);2022-12-31;65 oder mehr;1158;645;517;296;354;186;287;163;5507;3084
0401153;Blumenthal (Stadtteil);2022-12-31;Insgesamt;13768;6834;7627;3865;4583;2165;1558;804;18799;9664
04011531;Blumenthal (Ortsteil);2022-12-31;unter 6;731;352;405;200;294;133;32;19;163;80
04011531;Blumenthal (Ortsteil);2022-12-31;6 - 15;877;416;554;267;276;126;47;23;232;113
04011531;Blumenthal (Ortsteil);2022-12-31;15 - 18;296;156;157;84;119;59;20;13;92;45
04011531;Blumenthal (Ortsteil);2022-12-31;18 - 25;492;235;319;150;161;80;12;5;393;204
04011531;Blumenthal (Ortsteil);2022-12-31;25 - 30;401;212;281;155;111;52;9;5;268;123
04011531;Blumenthal (Ortsteil);2022-12-31;30 - 50;1514;747;1028;527;368;170;118;50;957;462
04011531;Blumenthal (Ortsteil);2022-12-31;50 - 65;686;319;384;174;201;88;101;57;1296;612
04011531;Blumenthal (Ortsteil);2022-12-31;65 oder mehr;417;239;228;130;106;63;83;46;1391;776
04011531;Blumenthal (Ortsteil);2022-12-31;Insgesamt;5414;2676;3356;1687;1636;771;422;218;4792;2415
04011532;Rönnebeck (Ortsteil);2022-12-31;unter 6;198;98;80;34;104;58;14;6;109;52
04011532;Rönnebeck (Ortsteil);2022-12-31;6 - 15;278;134;148;70;113;53;17;11;144;81
04011532;Rönnebeck (Ortsteil);2022-12-31;15 - 18;82;39;43;19;32;17;7;3;69;33
04011532;Rönnebeck (Ortsteil);2022-12-31;18 - 25;118;61;91;45;26;15;1;1;216;95
04011532;Rönnebeck (Ortsteil);2022-12-31;25 - 30;93;45;61;29;24;13;8;3;136;71
04011532;Rönnebeck (Ortsteil);2022-12-31;30 - 50;448;218;248;132;154;69;46;17;543;282
04011532;Rönnebeck (Ortsteil);2022-12-31;50 - 65;231;120;93;47;83;41;55;32;854;420
04011532;Rönnebeck (Ortsteil);2022-12-31;65 oder mehr;134;71;45;26;55;26;34;19;983;573
04011532;Rönnebeck (Ortsteil);2022-12-31;Insgesamt;1582;786;809;402;591;292;182;92;3054;1607
04011533;Lüssum-Bockhorn (Ortsteil);2022-12-31;unter 6;734;354;334;166;352;166;48;22;252;133
04011533;Lüssum-Bockhorn (Ortsteil);2022-12-31;6 - 15;1026;469;539;242;398;184;89;43;342;172
04011533;Lüssum-Bockhorn (Ortsteil);2022-12-31;15 - 18;289;132;140;63;114;51;35;18;148;71
04011533;Lüssum-Bockhorn (Ortsteil);2022-12-31;18 - 25;412;186;271;115;128;64;13;7;563;273
04011533;Lüssum-Bockhorn (Ortsteil);2022-12-31;25 - 30;323;161;215;111;94;42;14;8;357;170
04011533;Lüssum-Bockhorn (Ortsteil);2022-12-31;30 - 50;1534;834;911;539;410;198;213;97;1333;655
04011533;Lüssum-Bockhorn (Ortsteil);2022-12-31;50 - 65;768;381;363;172;244;119;161;90;1983;1025
04011533;Lüssum-Bockhorn (Ortsteil);2022-12-31;65 oder mehr;475;268;206;121;144;71;125;76;2005;1119
