Gebietsschlüssel;Gebietseinheit;Zeit;Alter von ... bis unter ... Jahren;Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung ohne Migrationshintergrund;Bevölkerung ohne Migrationshintergrund
04011213;Neustadt (Ortsteil);2022-12-31;unter 6;188;86;54;28;119;51;15;7;237;118
04011213;Neustadt (Ortsteil);2022-12-31;6 - 15;143;70;44;18;93;49;6;3;276;138
04011213;Neustadt (Ortsteil);2022-12-31;15 - 18;43;22;16;8;26;13;1;1;110;51
04011213;Neustadt (Ortsteil);2022-12-31;18 - 25;147;68;80;37;61;27;6;4;445;253
04011213;Neustadt (Ortsteil);2022-12-31;25 - 30;203;111;145;75;48;30;10;6;534;304
04011213;Neustadt (Ortsteil);2022-12-31;30 - 50;644;309;378;178;207;102;59;29;1696;876
04011213;Neustadt (Ortsteil);2022-12-31;50 - 65;239;127;138;75;87;46;14;6;1155;608
04011213;Neustadt (Ortsteil);2022-12-31;65 oder mehr;138;65;82;40;49;21;7;4;997;590
04011213;Neustadt (Ortsteil);2022-12-31;Insgesamt;1745;858;937;459;690;339;118;60;5450;2938
04011214;Südervorstadt (Ortsteil);2022-12-31;unter 6;117;51;40;20;66;28;11;3;121;57
04011214;Südervorstadt (Ortsteil);2022-12-31;6 - 15;126;77;63;38;59;35;4;4;142;75
04011214;Südervorstadt (Ortsteil);2022-12-31;15 - 18;33;17;17;8;16;9;0;0;40;15
04011214;Südervorstadt (Ortsteil);2022-12-31;18 - 25;236;99;160;58;70;36;6;5;406;212
04011214;Südervorstadt (Ortsteil);2022-12-31;25 - 30;211;95;140;59;63;31;8;5;435;245
04011214;Südervorstadt (Ortsteil);2022-12-31;30 - 50;594;266;414;180;151;76;29;10;1044;478
04011214;Südervorstadt (Ortsteil);2022-12-31;50 - 65;205;96;123;60;76;31;6;5;706;370
04011214;Südervorstadt (Ortsteil);2022-12-31;65 oder mehr;128;64;88;43;37;20;3;1;597;360
04011214;Südervorstadt (Ortsteil);2022-12-31;Insgesamt;1650;765;1045;466;538;266;67;33;3491;1812
04011215;Gartenstadt Süd (Ortsteil);2022-12-31;unter 6;187;92;59;25;119;62;9;5;122;71
04011215;Gartenstadt Süd (Ortsteil);2022-12-31;6 - 15;285;144;105;51;165;87;15;6;118;54
04011215;Gartenstadt Süd (Ortsteil);2022-12-31;15 - 18;70;29;24;13;44;15;2;1;47;19
04011215;Gartenstadt Süd (Ortsteil);2022-12-31;18 - 25;148;69;86;37;58;29;4;3;242;115
04011215;Gartenstadt Süd (Ortsteil);2022-12-31;25 - 30;197;106;134;72;55;28;8;6;298;138
04011215;Gartenstadt Süd (Ortsteil);2022-12-31;30 - 50;637;339;366;189;227;125;44;25;766;369
04011215;Gartenstadt Süd (Ortsteil);2022-12-31;50 - 65;304;160;162;85;119;62;23;13;693;359
04011215;Gartenstadt Süd (Ortsteil);2022-12-31;65 oder mehr;190;103;96;58;72;33;22;12;785;512
04011215;Gartenstadt Süd (Ortsteil);2022-12-31;Insgesamt;2018;1042;1032;530;859;441;127;71;3071;1637
04011216;Buntentor (Ortsteil);2022-12-31;unter 6;163;61;42;14;110;41;11;6;164;77
04011216;Buntentor (Ortsteil);2022-12-31;6 - 15;119;54;31;15;77;36;11;3;205;102
04011216;Buntentor (Ortsteil);2022-12-31;15 - 18;48;21;28;10;17;9;3;2;77;34
04011216;Buntentor (Ortsteil);2022-12-31;18 - 25;242;87;172;62;61;21;9;4;409;231
04011216;Buntentor (Ortsteil);2022-12-31;25 - 30;299;130;220;93;73;34;6;3;557;309
04011216;Buntentor (Ortsteil);2022-12-31;30 - 50;645;291;403;173;187;95;55;23;1607;791
04011216;Buntentor (Ortsteil);2022-12-31;50 - 65;232;113;146;69;78;37;8;7;1025;540
04011216;Buntentor (Ortsteil);2022-12-31;65 oder mehr;124;64;74;42;43;20;7;2;974;559
04011216;Buntentor (Ortsteil);2022-12-31;Insgesamt;1872;821;1116;478;646;293;110;50;5018;2643
04011217;Neuenland (Ortsteil);2022-12-31;unter 6;88;37;43;17;44;19;1;1;11;4
04011217;Neuenland (Ortsteil);2022-12-31;6 - 15;57;26;30;16;27;10;0;0;38;19
04011217;Neuenland (Ortsteil);2022-12-31;15 - 18;18;10;12;8;6;2;0;0;11;5
04011217;Neuenland (Ortsteil);2022-12-31;18 - 25;96;32;78;22;15;8;3;2;58;27
04011217;Neuenland (Ortsteil);2022-12-31;25 - 30;83;31;66;24;15;6;2;1;54;27
04011217;Neuenland (Ortsteil);2022-12-31;30 - 50;241;102;178;73;57;28;6;1;160;69
04011217;Neuenland (Ortsteil);2022-12-31;50 - 65;69;38;42;25;26;12;1;1;165;72
04011217;Neuenland (Ortsteil);2022-12-31;65 oder mehr;46;22;21;10;24;11;1;1;214;116
04011217;Neuenland (Ortsteil);2022-12-31;Insgesamt;698;298;470;195;214;96;14;7;711;339
04011218;Huckelriede (Ortsteil);2022-12-31;unter 6;342;174;124;54;201;113;17;7;248;125
04011218;Huckelriede (Ortsteil);2022-12-31;6 - 15;408;201;172;84;223;109;13;8;348;174
04011218;Huckelriede (Ortsteil);2022-12-31;15 - 18;108;50;43;17;63;33;2;0;93;41
04011218;Huckelriede (Ortsteil);2022-12-31;18 - 25;328;150;235;99;91;49;2;2;356;172
04011218;Huckelriede (Ortsteil);2022-12-31;25 - 30;270;120;208;92;58;26;4;2;305;157
04011218;Huckelriede (Ortsteil);2022-12-31;30 - 50;1016;504;706;337;265;142;45;25;1331;663
04011218;Huckelriede (Ortsteil);2022-12-31;50 - 65;416;195;289;130;106;56;21;9;1118;549
04011218;Huckelriede (Ortsteil);2022-12-31;65 oder mehr;232;126;150;88;68;29;14;9;1051;603
04011218;Huckelriede (Ortsteil);2022-12-31;Insgesamt;3120;1520;1927;901;1075;557;118;62;4850;2484
0401123;Obervieland (Stadtteil);2022-12-31;unter 6;1454;665;395;174;926;429;133;62;785;386
0401123;Obervieland (Stadtteil);2022-12-31;6 - 15;2140;1038;586;281;1334;660;220;97;1290;619
0401123;Obervieland (Stadtteil);2022-12-31;15 - 18;603;300;137;73;403;203;63;24;442;209
0401123;Obervieland (Stadtteil);2022-12-31;18 - 25;932;441;442;194;445;226;45;21;1511;706
0401123;Obervieland (Stadtteil);2022-12-31;25 - 30;852;405;494;230;297;143;61;32;929;442
0401123;Obervieland (Stadtteil);2022-12-31;30 - 50;4085;2152;2063;1067;1508;805;514;280;4382;2233
0401123;Obervieland (Stadtteil);2022-12-31;50 - 65;2407;1235;999;520;959;482;449;233;5423;2787
0401123;Obervieland (Stadtteil);2022-12-31;65 oder mehr;1542;845;517;286;601;324;424;235;7441;4187
0401123;Obervieland (Stadtteil);2022-12-31;Insgesamt;14015;7081;5633;2825;6473;3272;1909;984;22203;11569
04011231;Habenhausen (Ortsteil);2022-12-31;unter 6;139;58;13;4;110;49;16;5;266;138
04011231;Habenhausen (Ortsteil);2022-12-31;6 - 15;178;90;13;5;143;77;22;8;451;207
04011231;Habenhausen (Ortsteil);2022-12-31;15 - 18;49;21;5;2;39;17;5;2;141;62
04011231;Habenhausen (Ortsteil);2022-12-31;18 - 25;46;24;14;8;29;13;3;3;371;176
04011231;Habenhausen (Ortsteil);2022-12-31;25 - 30;68;37;30;17;31;14;7;6;211;102
04011231;Habenhausen (Ortsteil);2022-12-31;30 - 50;357;199;133;71;173;102;51;26;1281;686
04011231;Habenhausen (Ortsteil);2022-12-31;50 - 65;186;102;61;38;104;54;21;10;1593;840
04011231;Habenhausen (Ortsteil);2022-12-31;65 oder mehr;168;95;57;34;65;39;46;22;2537;1377
04011231;Habenhausen (Ortsteil);2022-12-31;Insgesamt;1191;626;326;179;694;365;171;82;6851;3588
