12411-03-03: Bevölkerung nach Geschlecht, Nationalität und Altersgruppen bis 90+ (Stand  31.12.)
Gebietsschlüssel;Gebietseinheit;Zeit;Alter von ... bis unter ... Jahren;Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1)
;;;;insgesamt;männlich;weiblich;Deutsche;Deutsche;Deutsche;Ausländer 2);Ausländer 2);Ausländer 2)
;;;;;;;zusammen;männlich;weiblich;zusammen;männlich;weiblich
04011242;Sodenmatt (Ortsteil);2021-12-31;18 - 20;146;82;64;111;62;49;35;20;15
04011242;Sodenmatt (Ortsteil);2021-12-31;20 - 25;411;234;177;280;157;123;131;77;54
04011242;Sodenmatt (Ortsteil);2021-12-31;25 - 30;418;222;196;228;110;118;190;112;78
04011242;Sodenmatt (Ortsteil);2021-12-31;30 - 35;434;200;234;248;117;131;186;83;103
04011242;Sodenmatt (Ortsteil);2021-12-31;35 - 40;426;202;224;251;129;122;175;73;102
04011242;Sodenmatt (Ortsteil);2021-12-31;40 - 45;432;223;209;244;127;117;188;96;92
04011242;Sodenmatt (Ortsteil);2021-12-31;45 - 50;442;213;229;269;133;136;173;80;93
04011242;Sodenmatt (Ortsteil);2021-12-31;50 - 55;475;237;238;340;172;168;135;65;70
04011242;Sodenmatt (Ortsteil);2021-12-31;55 - 60;503;248;255;410;197;213;93;51;42
04011242;Sodenmatt (Ortsteil);2021-12-31;60 - 65;469;233;236;391;190;201;78;43;35
04011242;Sodenmatt (Ortsteil);2021-12-31;65 - 70;344;158;186;290;130;160;54;28;26
04011242;Sodenmatt (Ortsteil);2021-12-31;70 - 75;308;129;179;278;116;162;30;13;17
04011242;Sodenmatt (Ortsteil);2021-12-31;75 - 80;238;109;129;208;94;114;30;15;15
04011242;Sodenmatt (Ortsteil);2021-12-31;80 - 85;366;137;229;342;129;213;24;8;16
04011242;Sodenmatt (Ortsteil);2021-12-31;85 - 90;206;66;140;202;65;137;4;1;3
04011242;Sodenmatt (Ortsteil);2021-12-31;90 und mehr;101;32;69;93;29;64;8;3;5
04011242;Sodenmatt (Ortsteil);2021-12-31;Insgesamt;7190;3496;3694;5119;2456;2663;2071;1040;1031
04011243;Kirchhuchting (Ortsteil);2021-12-31;unter 3;342;188;154;220;125;95;122;63;59
04011243;Kirchhuchting (Ortsteil);2021-12-31;3 - 6;319;159;160;186;91;95;133;68;65
04011243;Kirchhuchting (Ortsteil);2021-12-31;6 - 10;395;208;187;241;135;106;154;73;81
04011243;Kirchhuchting (Ortsteil);2021-12-31;10 - 15;474;253;221;339;172;167;135;81;54
